上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/07/11
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"3511","矽瑪","21.60","0.80","3.11","1.55"
"3512","能緹","62.61","0.00","0.00","2.15"
"3516","亞帝歐","N/A","0.00","0.00","0.42"
"3520","振維","N/A","0.00","0.00","19.82"
"3521","鴻翊","16.30","0.00","0.00","1.17"
"3522","宏森","N/A","0.00","0.00","1.98"
"3523","迎輝","N/A","0.00","0.00","2.81"
"3526","凡甲","20.43","1.50","3.34","2.13"
"3527","聚積","15.74","3.50","4.64","1.59"
"3529","力旺","42.79","6.00","2.00","11.39"
"3531","先益","34.26","0.25","1.55","0.56"
"3537","堡達","16.10","1.20","5.87","1.20"
"3540","曜越","16.92","0.35","1.85","0.94"
"3541","西柏","35.81","4.00","2.86","7.10"
"3546","宇峻","254.33","0.00","0.00","1.49"
"3548","兆利","12.85","1.30","2.15","1.13"
"3551","世禾","10.63","2.00","6.27","0.67"
"3552","同致","34.00","3.40","0.77","9.01"
"3553","力積","N/A","0.20","1.60","0.97"
"3555","重鳥鵬","N/A","0.00","0.00","6.84"
"3556","禾瑞亞","13.16","4.10","7.40","2.55"
"3558","神準","9.79","13.00","8.33","2.82"
"3562","頂晶科","N/A","0.00","0.00","2.65"
"3563","牧德","11.94","3.60","8.42","1.74"
"3564","其陽","9.53","3.00","5.12","2.12"
"3567","逸昌","12.07","1.10","6.51","1.21"
"3570","大塚","11.01","3.50","6.84","1.56"
"3577","泓格","19.44","1.30","3.74","1.79"
"3580","友威科","N/A","0.00","0.00","1.42"
"3581","博磊","21.04","1.00","5.80","1.16"
"3587","閎康","21.01","2.96","3.30","3.21"
"3594","磐儀","27.64","0.50","1.74","1.41"
"3609","東林","N/A","0.00","0.00","0.69"
"3611","鼎翰","17.20","10.00","3.85","4.72"
"3615","安可","127.19","0.30","1.47","0.56"
"3623","富晶通","12.31","5.50","8.33","3.24"
"3624","光頡","20.89","2.50","9.73","1.20"
"3625","西勝","51.90","0.00","0.00","1.23"
"3628","盈正","19.42","3.25","6.91","1.25"
"3629","卓韋","N/A","0.00","0.00","4.76"
"3630","新鉅科","N/A","0.00","0.00","1.20"
"3631","晟楠","N/A","0.00","0.00","1.14"
"3632","研勤","18.46","0.00","0.00","1.50"
"3642","駿熠電","N/A","0.00","0.00","1.28"
"3646","艾恩特","46.08","1.00","5.87","1.32"
"3652","精聯","48.10","0.70","3.47","0.83"
"3658","漢微科","43.05","16.00","1.24","7.15"
"3662","樂陞","27.84","1.50","1.53","1.99"
"3663","鑫科","N/A","0.00","0.00","1.01"
"3664","安瑞-KY","11.45","0.00","0.00","0.95"
"3666","光耀","25.30","1.00","3.35","1.52"
"3672","康聯訊","11.16","2.40","7.68","1.77"
"3675","德微","11.79","0.63","2.62","1.10"
"3680","家登","296.82","0.50","1.53","1.89"
"3684","榮昌","10.32","4.00","7.86","2.53"
"3685","政翔","N/A","0.00","0.00","5.17"
"3687","歐買尬","N/A","0.00","0.00","1.57"
"3689","湧德","16.30","1.50","5.20","0.77"
"3691","碩禾","11.36","20.00","4.02","4.10"
"3693","營邦","13.74","5.30","6.24","1.74"
"3707","漢磊","N/A","0.00","0.00","0.81"
"4102","永日","N/A","0.00","0.00","1.67"
"4103","百略","14.39","4.00","4.81","2.61"
"4105","東洋","20.36","3.50","3.07","5.34"
"4107","邦特","33.51","2.60","1.60","5.66"
"4109","穆拉德","46.84","0.50","2.18","1.78"
"4111","濟生","31.82","0.60","2.55","1.33"
"4113","聯上","8.25","0.81","8.00","0.56"
"4114","健喬","25.19","0.00","0.00","1.77"
"4116","明基醫","18.93","1.50","3.04","2.12"
"4120","友華","20.35","1.80","2.82","1.79"
"4121","優盛","N/A","0.00","0.00","0.92"
"4123","晟德","38.66","0.00","0.00","2.54"
"4126","太醫","18.40","2.50","2.31","3.35"
"4127","天良","35.75","0.30","1.58","1.04"
"4128","中天","N/A","0.00","0.00","1.39"
"4129","聯合","31.88","1.60","1.81","3.43"
"4130","健亞","89.60","0.50","1.12","1.71"
"4131","晶宇","N/A","0.00","0.00","2.13"
"4138","曜亞","15.01","3.63","5.69","1.43"
"4139","馬光-KY","N/A","1.00","2.06","3.53"
"4147","中裕","N/A","0.00","0.00","10.66"
"4152","台微體","N/A","0.00","0.00","3.20"
"4153","鈺緯","17.95","3.50","6.06","2.16"
"4154","康樂-KY","N/A","0.00","0.00","2.01"
"4157","太景*-KY","N/A","0.00","0.00","25.78"
"4160","創源","N/A","0.00","0.00","2.17"
"4161","聿新科","318.95","0.50","0.83","2.96"
"4162","智擎","58.51","4.00","1.82","7.13"
"4163","鐿鈦","25.07","4.50","2.38","5.24"
"4167","展旺","N/A","0.00","0.00","3.94"
"4168","醣聯","N/A","0.00","0.00","1.40"
"4171","瑞基","N/A","0.00","0.00","3.04"
"4173","久裕","35.88","0.30","1.44","0.86"
"4174","浩鼎","N/A","0.00","0.00","12.19"
"4175","杏一","18.82","4.00","4.64","3.14"
"4180","安成藥","N/A","0.00","0.00","2.77"
"4188","安克","N/A","0.00","0.00","3.69"
"4192","杏國","N/A","0.00","0.00","2.56"
"4198","環瑞醫","N/A","0.00","0.00","2.83"
"4205","中華食","15.99","2.00","4.60","2.46"
"4207","環泰","90.77","0.00","0.00","1.07"
"4303","信立","17.01","0.60","4.30","1.28"
"4304","勝昱","N/A","0.00","0.00","1.09"
"4305","世坤","9.77","2.30","7.57","1.69"
"4401","東隆興","18.98","3.60","4.04","4.08"
"4402","福大","N/A","0.00","0.00","1.99"
"4406","新昕纖","68.13","0.00","0.00","0.98"
"4413","飛寶","40.14","0.00","0.00","7.98"
"4415","台原藥","N/A","0.00","0.00","53.33"
"4416","三圓","5.63","4.50","5.63","1.81"
"4417","金洲","10.84","1.80","5.34","1.39"
"4419","松懋","N/A","0.00","0.00","2.28"
"4420","光明","10.03","1.50","4.46","1.80"
